# Strain_x(Poisson) Strain_y(Poisson) Strain_z(longitudinal) Stress_xx(GPa) Stress_yy(GPa) Stress_zz(GPa) Stress_VM(GPa)
-0.117660694521707 -0.148129873095965 0.0395 -0.00240928439181528 0.00183769112615333 0.0464476734797445 0.0468779780872709
-0.118194789026723 -0.149174071816493 0.03975 -0.00218162860483872 0.00468201533599199 0.05106530286805 0.0501684895213449
-0.118520456953444 -0.150142560157192 0.0399999999999999 -0.00161560373990853 0.0032595108282618 0.0510132537631818 0.0503685583892759
-0.118779555538951 -0.1510244927869 0.0402499999999999 0.00965882495978833 0.00198206073595607 0.0604933800849642 0.0550756715605197
-0.119250832807961 -0.151736295314712 0.0404999999999999 0.000968992652043082 0.000858904846229915 0.0645186923137377 0.0636048150175159
-0.11969826106289 -0.152344968285439 0.04075 0.000630039065728387 0.00923907695635524 0.0679238181376608 0.0634289645300202
-0.120149088507218 -0.153113281962801 0.041 0.0172279225382864 0.00155684291254252 0.0560236646301751 0.0485660735962725
-0.121050036293169 -0.153799730624659 0.04125 0.0194179940451761 -0.00493532503821602 0.0579978911886051 0.0549639987565811
-0.122379006065124 -0.154207268298007 0.0414999999999999 0.0091478853758432 0.00104203595175076 0.0595809169555411 0.0549363088420618
-0.123711733064485 -0.15446032250327 0.0417499999999999 -0.00487061957852627 -0.000493716187687393 0.0558424243133203 0.0586472152299464
-0.124619722936289 -0.154650928288579 0.0419999999999999 -0.00761932496816933 0.00733432484418197 0.0575659127009732 0.0591436356310109
-0.125131749253702 -0.155035877549498 0.04225 0.00174651593659817 0.00993699227467462 0.0601307017012244 0.0547503676519158
-0.125550391380014 -0.155676311003568 0.0425 0.000328262177349202 0.0109136634505837 0.0639579374825935 0.0590528632123336
-0.125885017883397 -0.156541537628738 0.0427499999999999 -0.00216017118913817 0.00410364894307577 0.0647546245797432 0.064013147794494
-0.126186910527214 -0.157397455974621 0.0429999999999999 0.0159429029296633 0.00167145481290768 0.0625882864542329 0.0551829974390708
-0.126925884507481 -0.158194423254576 0.0432499999999999 0.0154323494572784 0.00641106376147277 0.0451153912998169 0.0350748595066799
-0.128023875393651 -0.159031719815945 0.0435 -0.000423107569869535 -0.00078858743802969 0.0581391978898518 0.0587458980693147
-0.128898798201842 -0.159725932307303 0.04375 -0.00465814231500285 -0.00146316965170099 0.0481007557515474 0.0512361780234175
-0.129463887455818 -0.160260025208312 0.0439999999999998 -0.000117149640614445 0.00231102216367897 0.0507743224493314 0.0497218735787894
-0.129932959252514 -0.16073867779411 0.0442499999999999 0.00203979779814517 -0.00213758949771385 0.0524635885273191 0.052636954118948
-0.130433182641137 -0.161072304775888 0.0444999999999999 0.00765080732549437 -0.00118402700403671 0.05612764555595 0.0534447656654754
-0.131046828939762 -0.161265365554047 0.0447499999999999 0.005725021782738 -0.00434657488174586 0.0485251021950587 0.0486245729008855
